"red_count","black_count","white_count","proportion_red_to_red_black","file_name","percent_complete","ID"
0,40939,0,0,"CA230378_31_infill.jpg",1,"CA230378_31"
0,41158,0,0,"CA230378_32_infill.jpg",1,"CA230378_32"
0,41417,0,0,"CA230378_33_infill.jpg",1,"CA230378_33"
0,41990,0,0,"CA230378_34_infill.jpg",1,"CA230378_34"
0,42430,0,0,"CA230378_35_infill.jpg",1,"CA230378_35"
0,42902,0,0,"CA230378_36_infill.jpg",1,"CA230378_36"
0,43949,0,0,"CA230378_5_infill.jpg",1,"CA230378_5"
0,44003,0,0,"CA230378_6_infill.jpg",1,"CA230378_6"
0,44439,0,0,"CA230378_9_infill.jpg",1,"CA230378_9"
0,59468,0,0,"CA230381_1_infill.jpg",1,"CA230381_1"
0,61294,0,0,"CA230381_16_infill.jpg",1,"CA230381_16"
0,60996,0,0,"CA230381_17_infill.jpg",1,"CA230381_17"
0,61053,0,0,"CA230381_18_infill.jpg",1,"CA230381_18"
0,61417,0,0,"CA230381_19_infill.jpg",1,"CA230381_19"
0,59427,0,0,"CA230381_2_infill.jpg",1,"CA230381_2"
0,61559,0,0,"CA230381_20_infill.jpg",1,"CA230381_20"
0,61762,0,0,"CA230381_21_infill.jpg",1,"CA230381_21"
0,61838,0,0,"CA230381_22_infill.jpg",1,"CA230381_22"
0,62060,0,0,"CA230381_23_infill.jpg",1,"CA230381_23"
0,61539,0,0,"CA230381_27_infill.jpg",1,"CA230381_27"
0,61258,0,0,"CA230381_28_infill.jpg",1,"CA230381_28"
0,60956,0,0,"CA230381_29_infill.jpg",1,"CA230381_29"
0,59571,0,0,"CA230381_3_infill.jpg",1,"CA230381_3"
0,60623,0,0,"CA230381_30_infill.jpg",1,"CA230381_30"
0,59759,0,0,"CA230381_36_infill.jpg",1,"CA230381_36"
0,64984,0,0,"CA230386_27_infill.jpg",1,"CA230386_27"
0,64936,0,0,"CA230386_28_infill.jpg",1,"CA230386_28"
0,64131,0,0,"CA230386_29_infill.jpg",1,"CA230386_29"
0,63418,0,0,"CA230386_30_infill.jpg",1,"CA230386_30"
0,63698,0,0,"CA230386_31_infill.jpg",1,"CA230386_31"
0,65564,0,0,"CA230386_32_infill.jpg",1,"CA230386_32"
0,67024,0,0,"CA230386_33_infill.jpg",1,"CA230386_33"
0,68073,0,0,"CA230386_34_infill.jpg",1,"CA230386_34"
0,248761,0,0,"CA230387_17_infill.jpg",1,"CA230387_17"
0,225488,0,0,"CA230387_31_infill.jpg",1,"CA230387_31"
0,223317,0,0,"CA230387_32_infill.jpg",1,"CA230387_32"
0,224133,0,0,"CA230387_33_infill.jpg",1,"CA230387_33"
0,229032,0,0,"CA230387_6_infill.jpg",1,"CA230387_6"
0,227258,0,0,"CA230387_7_infill.jpg",1,"CA230387_7"
0,228244,0,0,"CA230387_8_infill.jpg",1,"CA230387_8"
0,229402,0,0,"CA230387_9_infill.jpg",1,"CA230387_9"
11,51860,324397,0.00021206454473598,"CA230404_10_infill.tiff",0.999787935455264,"CA230404_10"
16,51745,324496,0.000309113038774367,"CA230404_11_infill.tiff",0.999690886961226,"CA230404_11"
24,51745,324475,0.000463597906082791,"CA230404_12_infill.tiff",0.999536402093917,"CA230404_12"
23,51793,324412,0.00044387833873707,"CA230404_13_infill.tiff",0.999556121661263,"CA230404_13"
20,51744,325318,0.000386368905030523,"CA230404_14_infill.tiff",0.99961363109497,"CA230404_14"
15,50881,327969,0.000294718641936498,"CA230404_2_infill.tiff",0.999705281358063,"CA230404_2"
59,52004,334672,0.00113324241783992,"CA230404_23_infill.tiff",0.99886675758216,"CA230404_23"
19,51219,326318,0.00037081853311995,"CA230404_4_infill.tiff",0.99962918146688,"CA230404_4"
46,51538,325105,0.000891749379652605,"CA230404_5_infill.tiff",0.999108250620347,"CA230404_5"
19,51681,323266,0.000367504835589942,"CA230404_7_infill.tiff",0.99963249516441,"CA230404_7"
17,51751,322767,0.000328388193478597,"CA230404_9_infill.tiff",0.999671611806521,"CA230404_9"
65,52048,393202,0.00124728954387581,"CA230411_10_infill.tiff",0.998752710456124,"CA230411_10"
84,52047,395072,0.00161132531507165,"CA230411_11_infill.tiff",0.998388674684928,"CA230411_11"
44,51978,396589,0.000845796009380647,"CA230411_12_infill.tiff",0.999154203990619,"CA230411_12"
12,52022,399837,0.000230618441788062,"CA230411_13_infill.tiff",0.999769381558212,"CA230411_13"
102,51989,406875,0.00195811176594805,"CA230411_15_infill.tiff",0.998041888234052,"CA230411_15"
182,51928,409710,0.00349261178276722,"CA230411_16_infill.tiff",0.996507388217233,"CA230411_16"
76,53456,421158,0.00141971157438541,"CA230411_21_infill.tiff",0.998580288425615,"CA230411_21"
292,53077,421661,0.00547134104067905,"CA230411_22_infill.tiff",0.994528658959321,"CA230411_22"
208,52804,421937,0.00392363993058176,"CA230411_23_infill.tiff",0.996076360069418,"CA230411_23"
76,52923,422392,0.00143398932055322,"CA230411_24_infill.tiff",0.998566010679447,"CA230411_24"
36,52534,422311,0.000684801217424387,"CA230411_25_infill.tiff",0.999315198782576,"CA230411_25"
83,37886,276805,0.00218599383707762,"CA230416_31_infill.tiff",0.997814006162922,"CA230416_31"
48,38427,275909,0.00124756335282651,"CA230416_32_infill.tiff",0.998752436647174,"CA230416_32"
80,38860,275836,0.00205444273240883,"CA230416_33_infill.tiff",0.997945557267591,"CA230416_33"
150,39319,274934,0.00380045098685044,"CA230416_34_infill.tiff",0.99619954901315,"CA230416_34"
61,39836,272900,0.00152893701280798,"CA230416_35_infill.tiff",0.998471062987192,"CA230416_35"
149,50771,421440,0.0029261586802828,"CA230428_1_infill.tiff",0.997073841319717,"CA230428_1"
186,50656,421521,0.00365839266747964,"CA230428_2_infill.tiff",0.99634160733252,"CA230428_2"
82,48293,408535,0.00169509043927649,"CA230428_28_infill.tiff",0.998304909560723,"CA230428_28"
100,48465,409306,0.00205909605683105,"CA230428_29_infill.tiff",0.997940903943169,"CA230428_29"
197,50654,422974,0.003874063440247,"CA230428_3_infill.tiff",0.996125936559753,"CA230428_3"
140,48688,410014,0.00286720734005079,"CA230428_30_infill.tiff",0.997132792659949,"CA230428_30"
186,48947,411622,0.00378564305049559,"CA230428_31_infill.tiff",0.996214356949504,"CA230428_31"
85,49336,412310,0.001719916634629,"CA230428_32_infill.tiff",0.998280083365371,"CA230428_32"
68,49568,414030,0.00136997340639858,"CA230428_33_infill.tiff",0.998630026593601,"CA230428_33"
124,49772,416666,0.00248516915183582,"CA230428_34_infill.tiff",0.997514830848164,"CA230428_34"
104,50114,417794,0.00207097056832212,"CA230428_35_infill.tiff",0.997929029431678,"CA230428_35"
35,50573,419344,0.000691590262409105,"CA230428_36_infill.tiff",0.999308409737591,"CA230428_36"
102,50741,423971,0.00200617587475169,"CA230428_4_infill.tiff",0.997993824125248,"CA230428_4"
189,45746,424326,0.00411450963317732,"CA230429_14_infill.tiff",0.995885490366823,"CA230429_14"
199,45070,422131,0.00439594424440566,"CA230429_15_infill.tiff",0.995604055755594,"CA230429_15"
178,44835,419535,0.0039544131695288,"CA230429_16_infill.tiff",0.996045586830471,"CA230429_16"
94,50544,416170,0.00185631344049923,"CA230429_29_infill.tiff",0.998143686559501,"CA230429_29"
112,51110,417482,0.00218656046230135,"CA230429_30_infill.tiff",0.997813439537699,"CA230429_30"
149,51311,419129,0.00289545277885737,"CA230429_31_infill.tiff",0.997104547221143,"CA230429_31"
196,51536,421247,0.00378875744220212,"CA230429_32_infill.tiff",0.996211242557798,"CA230429_32"
211,51707,423010,0.00406410108247621,"CA230429_33_infill.tiff",0.995935898917524,"CA230429_33"
196,51740,424941,0.00377387553912508,"CA230429_34_infill.tiff",0.996226124460875,"CA230429_34"
145,51853,427335,0.00278856879110735,"CA230429_35_infill.tiff",0.997211431208893,"CA230429_35"
107,51464,426361,0.00207480948595141,"CA230429_36_infill.tiff",0.997925190514049,"CA230429_36"
170,41136,218228,0.00411562484869026,"CA230430_24_infill.tiff",0.99588437515131,"CA230430_24"
630,40442,214843,0.0153389170237631,"CA230430_25_infill.tiff",0.984661082976237,"CA230430_25"
694,40232,213901,0.0169574353711577,"CA230430_26_infill.tiff",0.983042564628842,"CA230430_26"
398,40284,213415,0.00978319649968045,"CA230430_27_infill.tiff",0.99021680350032,"CA230430_27"
86,40580,216327,0.00211478876702897,"CA230430_28_infill.tiff",0.997885211232971,"CA230430_28"
158,39555,225940,0.00397854606803817,"CA230430_5_infill.tiff",0.996021453931962,"CA230430_5"
121,39466,226423,0.00305655897137949,"CA230430_6_infill.tiff",0.99694344102862,"CA230430_6"
434,56672,498185,0.0075999019367492,"CA230724_10_infill.tiff",0.992400098063251,"CA230724_10"
395,56686,497200,0.00691999089013857,"CA230724_11_infill.tiff",0.993080009109861,"CA230724_11"
511,56494,497438,0.0089641259538637,"CA230724_12_infill.tiff",0.991035874046136,"CA230724_12"
500,56625,498039,0.0087527352297593,"CA230724_13_infill.tiff",0.991247264770241,"CA230724_13"
227,56926,495529,0.00397179500638637,"CA230724_14_infill.tiff",0.996028204993614,"CA230724_14"
39,57391,493833,0.000679087584885948,"CA230724_15_infill.tiff",0.999320912415114,"CA230724_15"
386,59172,500602,0.00648107726921656,"CA230724_25_infill.tiff",0.993518922730783,"CA230724_25"
553,58982,502190,0.00928865373309818,"CA230724_26_infill.tiff",0.990711346266902,"CA230724_26"
521,58928,502763,0.00876381436189002,"CA230724_27_infill.tiff",0.99123618563811,"CA230724_27"
468,59071,502619,0.0078603940274442,"CA230724_28_infill.tiff",0.992139605972556,"CA230724_28"
445,59351,503303,0.00744196936249916,"CA230724_29_infill.tiff",0.992558030637501,"CA230724_29"
418,59375,502129,0.00699078487448364,"CA230724_30_infill.tiff",0.993009215125516,"CA230724_30"
234,59574,501925,0.00391252006420546,"CA230724_31_infill.tiff",0.996087479935794,"CA230724_31"
143,59640,501339,0.00239198434337521,"CA230724_32_infill.tiff",0.997608015656625,"CA230724_32"
129,59277,502096,0.00217149782850217,"CA230724_33_infill.tiff",0.997828502171498,"CA230724_33"
114,58863,502479,0.0019329569154077,"CA230724_34_infill.tiff",0.998067043084592,"CA230724_34"
149,58473,503290,0.00254170789123537,"CA230724_35_infill.tiff",0.997458292108765,"CA230724_35"
92,57939,505371,0.00158535954920646,"CA230724_36_infill.tiff",0.998414640450794,"CA230724_36"
220,56110,508680,0.00390555654180721,"CA230724_4_infill.tiff",0.996094443458193,"CA230724_4"
385,56061,509028,0.00682067817028665,"CA230724_5_infill.tiff",0.993179321829713,"CA230724_5"
469,56011,506415,0.00830382436260623,"CA230724_6_infill.tiff",0.991696175637394,"CA230724_6"
413,56181,503729,0.00729759338445772,"CA230724_7_infill.tiff",0.992702406615542,"CA230724_7"
436,56581,499630,0.00764684216987916,"CA230724_8_infill.tiff",0.992353157830121,"CA230724_8"
471,56695,498020,0.00823916313892873,"CA230724_9_infill.tiff",0.991760836861071,"CA230724_9"
